JDBH_x,JDBH_y,flow,avg_dis,avg_time
440303001,440303001,4024,1.21,11.87
440303001,440303002,1513,3.47,10.08
440303001,440303003,1609,1.69,9.43
440303001,440303004,1345,3.12,16.67
440303001,440303005,5346,1.67,11.32
440303001,440303006,2512,1.96,12.68
440303001,440303007,451,6.79,16.49
440303001,440303008,412,7.26,17.39
440303001,440303009,337,4.39,13.81
440303001,440303010,993,3.59,13.65
440303001,440304001,2517,1.7,10.4
440303001,440304002,1897,1.84,10.77
440303001,440304004,8586,4.51,15.69
440303001,440304005,2577,8.16,22.19
440303001,440304006,1192,8.92,21.26
440303001,440304007,1091,5.73,20.21
440303001,440304008,3175,5.51,18.7
440303001,440304009,1645,3.13,12.29
440303001,440304010,500,6.44,27.82
440303001,440304011,5919,1.91,10.22
440303001,440304400,470,6.96,26.31
440303001,440305001,490,18.85,37.52
440303001,440305002,316,19.98,39.69
440303001,440305003,957,13.27,29.33
440303001,440305005,135,19.09,39.29
440303001,440305006,350,20.17,36.31
440303001,440305007,3787,16.98,35.72
440303001,440305008,404,13.87,45.86
440303001,440305009,523,17.2,46.77
440303001,440306017,258,21.28,42.75
440303001,440306018,279,25.89,47.57
440303001,440306020,111,34.58,54.6
440303001,440306022,62,35.87,54.21
440303001,440306024,52,36.88,70.03
440303001,440306026,52,22.99,39.09
440303001,440306400,393,31.89,42.29
440303001,440307003,162,14.18,32.05
440303001,440307006,19,32.59,51.46
440303001,440307009,61,32.31,56.08
440303001,440307010,50,40.41,60.22
440303001,440307011,11,45.71,60.69
440303001,440307012,593,8.92,32.46
440303001,440307013,814,10.82,35.66
440303001,440307014,915,6.88,26.58
440303001,440307015,250,22.47,43.57
440303001,440307016,128,26.01,60.63
440303001,440307017,305,14.39,37.46
440303001,440308001,145,21.65,41.96
440303001,440308002,149,16.18,31.62
440303001,440308003,58,12.48,29.67
440303001,440308004,78,13.66,22.29
440303001,440308400,46,14.9,30
440303001,440309002,587,10.53,42.9
440303001,440309003,611,14.41,38.25
440303001,440309004,147,16.59,62.13
440303001,440309006,153,20.81,38.77
440303001,440310001,77,30.6,59.07
440303001,440310005,19,36.24,66.48
440303001,440311001,41,24.71,56.74
440303001,440311002,50,32.25,68.69
440303001,441303008,2,37.19,37.48
440303001,441900116,1,23.18,22.85
440303002,440303001,8297,3.53,11.1
440303002,440303002,3161,1.56,12.79
440303002,440303003,3529,2.39,10.98
440303002,440303004,4798,1.89,12.75
440303002,440303005,10186,3,9.82
440303002,440303006,2708,3.07,10.24
440303002,440303007,1727,3.11,13.18
440303002,440303008,2044,3.34,13.93
440303002,440303009,1206,3.44,17.91
440303002,440303010,885,4.81,14.48
440303002,440304001,1302,5.23,16.39
440303002,440304002,1318,4.7,14.15
440303002,440304004,6778,8.32,24.87
440303002,440304005,2286,11.86,31.15
440303002,440304006,1308,12.46,26.53
440303002,440304007,1082,8.86,32.58
440303002,440304008,2713,9.03,25.99
440303002,440304009,1754,6.7,23.21
440303002,440304010,382,10.13,27.41
440303002,440304011,4526,5.38,14.14
440303002,440304400,502,10.54,34.19
440303002,440305001,482,22.43,45.13
440303002,440305002,392,24.28,52.99
440303002,440305003,780,16.66,32.09
440303002,440305005,135,22.27,34.39
440303002,440305006,330,23.86,50.58
440303002,440305007,3160,20.63,46.03
440303002,440305008,566,16.4,50.27
440303002,440305009,765,20.59,40.77
440303002,440306017,471,25.04,49.06
440303002,440306018,388,28.74,48.17
440303002,440306020,77,36.56,61.69
440303002,440306022,37,38.29,74.13
440303002,440306024,41,39.42,70.08
440303002,440306026,61,25.04,61.67
440303002,440306400,113,34.61,61.9
440303002,440307003,252,13.05,45.81
440303002,440307006,24,28.23,80.78
440303002,440307009,159,29.3,43.45
440303002,440307010,84,39.42,62.92
440303002,440307011,7,39.35,81.73
440303002,440307012,776,7.34,31.64
440303002,440307013,1089,11.93,34.14
440303002,440307014,1159,6.72,22.33
440303002,440307015,286,20.03,50.53
440303002,440307016,170,22.37,46.81
440303002,440307017,473,12.14,35.88
440303002,440308001,135,18.17,32.32
440303002,440308002,423,12.66,31.91
440303002,440308003,190,8.5,18.86
440303002,440308004,491,9.97,27.13
440303002,440308400,248,11.4,25.02
440303002,440309002,636,13.16,32.18
440303002,440309003,503,15.34,41.82
440303002,440309004,63,19.44,72.76
440303002,440309006,242,19.16,43.61
440303002,440310001,107,27.09,58.78
440303002,440310005,18,32.03,46.72
440303002,440311001,9,28.88,71.06
440303002,440311002,62,32.26,80.36
440303002,441303002,1,32.91,32.32
440303003,440303001,3598,1.67,10.49
440303003,440303002,1521,2.27,11.18
440303003,440303003,441,0.85,13.66
440303003,440303004,1316,2.01,13.2
440303003,440303005,4587,1.77,10.16
440303003,440303006,967,1.89,10.97
440303003,440303007,348,3.85,11.55
440303003,440303008,356,5.8,15.57
440303003,440303009,305,3.29,10.59
440303003,440303010,469,3.37,19.1
440303003,440304001,582,3.14,14.61
440303003,440304002,638,2.81,11.35
440303003,440304004,2410,6.18,23
440303003,440304005,755,9.91,27.87
440303003,440304006,315,10.79,28.35
440303003,440304007,340,7.22,21
440303003,440304008,991,6.88,19.15
440303003,440304009,513,4.82,15.01
440303003,440304010,157,7.81,25.6
440303003,440304011,1753,3.44,14.22
440303003,440304400,139,8.82,30.97
440303003,440305001,164,20.21,34.6
440303003,440305002,146,21.45,40.46
440303003,440305003,333,14.77,37.49
440303003,440305005,30,20.05,45.59
440303003,440305006,127,21.65,35.17
440303003,440305007,1134,18.41,40.16
440303003,440305008,208,14.91,32.41
440303003,440305009,249,18.13,38.61
440303003,440306017,112,22.7,44.66
440303003,440306018,115,26.86,51.07
440303003,440306020,43,35.22,63.25
440303003,440306022,24,36.27,52.38
440303003,440306024,15,38.33,58.11
440303003,440306026,24,23.52,52.23
440303003,440306400,140,32.55,55.02
440303003,440307003,136,13.44,35.4
440303003,440307006,3,31.87,57.28
