,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,6387.16,1121.30,1283.42,2134.96,3418.53,2270.67,249.02,162.55,585.66,853.09,1654.53,2088.30,8970.05,2001.76,1038.16,1133.28,3514.47,2384.49,487.27,6247.71,875.63,231.73,79.70,520.12,16.46,87.81,1970.54,718.15,607.03,217.96,116.33,20.07,17.96,6.88,86.13,9.80,328.46,4.75,0.90,0.60,0.05,623.22,2268.06,1140.63,58.89,55.03,321.47,7.59,70.27,38.24,48.42,27.19,1159.01,1533.17,178.67,251.54,28.13,2.59,0.05,6.61,26.77
1,5967.60,4324.36,2032.12,5052.17,4836.12,3422.59,885.85,622.72,1248.57,1137.97,1574.95,2174.22,8457.57,1871.43,982.37,1150.89,3367.98,2355.62,463.88,5869.96,852.87,219.81,74.49,488.27,15.48,82.47,1848.10,733.21,635.51,210.79,117.36,21.64,20.68,8.90,101.24,9.97,750.42,15.49,3.46,2.31,0.19,1581.04,3493.95,2207.07,174.77,187.64,1099.12,29.05,270.59,147.00,186.07,104.83,1392.52,2191.60,233.28,425.60,105.34,9.27,0.16,9.53,35.96
2,2557.88,761.00,872.70,1392.05,1820.30,1261.59,167.34,110.53,353.13,418.19,667.07,909.91,3597.62,801.84,420.65,478.00,1436.41,995.53,195.93,2520.67,354.82,93.99,31.98,209.58,6.59,35.17,793.40,302.86,258.73,89.33,48.66,8.65,7.96,3.20,38.59,4.11,191.80,3.09,0.61,0.41,0.03,380.85,1151.67,638.09,37.28,36.34,213.04,5.16,47.77,25.88,32.77,18.45,528.56,749.78,83.88,130.89,19.05,1.73,0.03,3.22,12.65
3,3666.24,1630.16,1199.43,3900.02,2530.33,2520.14,449.97,272.88,936.19,871.16,951.74,1510.80,5234.81,1207.09,672.47,835.48,2323.30,1641.93,282.87,3803.61,503.76,152.67,49.52,330.11,9.81,52.45,1248.78,538.64,473.66,150.14,86.31,16.36,15.85,6.87,77.69,7.37,518.19,8.62,1.52,0.98,0.08,1053.03,2681.55,1636.54,104.44,100.49,587.23,13.17,119.02,61.04,77.54,44.88,1066.55,1688.30,180.08,319.99,50.30,4.72,0.08,7.32,27.74
4,3386.21,900.11,904.70,1459.56,3201.50,1339.38,186.13,130.50,366.09,463.41,1000.13,1107.59,5406.30,1180.36,581.93,607.91,1930.53,1278.11,301.44,3433.24,561.51,130.37,46.52,297.01,10.00,53.18,1130.24,386.20,325.04,120.50,63.04,10.71,9.53,3.65,45.67,5.30,198.87,3.32,0.74,0.51,0.05,395.75,1244.75,666.22,39.28,39.65,232.77,6.13,57.71,32.31,41.02,22.71,615.08,826.97,95.19,139.56,21.97,1.93,0.03,3.56,14.27
5,4832.27,1368.59,1347.11,3123.13,2877.58,3823.92,370.81,218.55,978.98,1247.12,1311.17,2264.99,7502.41,1788.07,1016.15,1265.01,3510.77,2481.19,404.92,5494.54,708.49,231.48,74.48,497.98,14.53,77.73,1884.67,812.10,708.63,227.73,129.99,24.17,22.91,9.51,111.83,11.08,551.84,7.71,1.22,0.78,0.06,1046.00,3489.91,1893.16,97.76,87.37,504.31,10.66,95.64,48.92,62.11,35.96,1539.29,2261.66,249.76,396.17,41.44,4.01,0.07,9.71,37.86
6,1996.30,1334.38,673.12,2100.63,1506.43,1396.87,2129.36,687.88,749.29,587.12,517.15,827.39,2822.20,653.69,377.33,505.87,1298.56,913.80,152.66,2049.17,273.95,88.64,27.47,184.45,5.31,28.40,699.95,345.36,324.65,91.26,57.45,12.54,13.66,7.26,66.04,5.05,1150.29,36.90,6.81,4.13,0.27,2309.63,2815.13,2085.76,391.05,450.93,2636.58,60.09,512.19,203.79,278.71,180.79,821.02,1767.43,173.53,467.91,237.69,22.04,0.39,8.88,30.40
7,2647.02,1905.43,903.11,2587.76,2145.35,1672.39,1397.32,1170.04,780.97,614.77,694.47,1008.29,3731.68,830.33,448.21,557.60,1547.08,1092.24,204.40,2625.14,376.58,101.34,33.34,220.78,6.83,36.41,834.95,363.55,326.20,99.85,58.61,11.73,12.04,5.87,58.98,5.05,788.15,25.79,6.43,4.19,0.31,1648.21,2380.89,1707.67,260.22,323.82,1843.09,54.55,504.78,258.76,330.69,192.33,782.37,1471.10,147.77,347.02,196.78,16.80,0.30,6.89,24.35
8,2354.52,943.18,712.34,2191.76,1485.84,1849.43,375.76,192.80,1112.74,864.93,634.54,1141.75,3691.02,919.19,553.75,750.94,1890.71,1312.98,199.73,2691.17,346.40,131.62,40.29,270.87,7.55,40.40,1030.86,505.50,461.92,134.96,82.46,16.69,16.85,7.70,82.75,7.15,604.20,8.69,1.20,0.74,0.05,1183.65,3089.25,1944.83,111.12,97.21,553.00,10.61,91.45,42.77,55.11,33.27,1112.77,1922.07,199.92,378.28,43.43,4.38,0.08,8.44,31.40
9,3286.05,823.63,808.24,1954.10,1802.06,2257.31,282.11,145.42,828.71,2399.55,1070.45,2048.74,7451.99,2204.56,1439.37,2053.97,4714.92,2979.27,420.35,4825.74,705.64,358.44,106.29,711.13,19.01,101.74,2732.44,1402.39,1273.19,372.97,228.21,44.89,43.60,18.28,213.48,19.70,770.30,8.06,0.91,0.55,0.04,1195.80,6367.18,2751.75,111.64,84.41,454.43,8.01,68.23,32.16,41.26,24.78,2935.76,4279.27,480.17,702.57,34.08,3.67,0.06,18.38,72.58
10,1807.48,323.29,365.65,605.47,1103.01,673.07,70.47,46.59,172.43,303.59,994.69,770.19,5339.15,1171.06,573.50,554.83,1847.87,1106.53,292.12,2903.27,526.29,129.12,46.20,295.16,9.77,52.07,1123.95,359.89,299.93,118.11,60.25,9.84,8.37,2.96,39.04,5.06,102.89,1.36,0.26,0.18,0.02,185.75,823.86,366.35,17.22,15.65,91.23,2.17,20.26,11.21,14.21,7.91,494.81,595.67,74.47,90.70,7.98,0.73,0.01,2.64,11.20
